championName,bestDuo1,bestDuo2,bestDuo3,bestDuo4,bestDuo5,bestDuo6
Taliyah,"['Olaf', '58.1%', 'Top']","['Akshan', '57.9%', 'Mid']","['Kassadin', '57.8%', 'Mid']","['Aatrox', '57.4%', 'Mid']","['Renekton', '56.5%', 'Mid']","['Quinn', '56.4%', 'Top']"
Lulu,"['Twitch', '51.9%', 'Bot']","['Nilah', '51.8%', 'Bot']","['Sivir', '51.1%', 'Bot']","['Tristana', '51.0%', 'Bot']","['Ashe', '50.9%', 'Bot']","[""Kog'Maw"", '50.9%', 'Bot']"
Riven,"['Fiddlesticks', '55.8%', 'Jungle']","[""Rek'Sai"", '55.5%', 'Jungle']","['Rammus', '55.2%', 'Jungle']","['Rumble', '55.2%', 'Jungle']","['Taliyah', '55.0%', 'Jungle']","['Nunu & Willump', '54.8%', 'Jungle']"
Poppy,"['Fizz', '56.1%', 'Mid']","['Neeko', '55.7%', 'Mid']","['Aurelion Sol', '55.2%', 'Mid']","['Annie', '54.4%', 'Mid']","['Olaf', '54.3%', 'Top']","['Illaoi', '53.9%', 'Top']"
Karma,"['Seraphine', '52.4%', 'Bot']","['Sivir', '51.0%', 'Bot']","['Vayne', '50.9%', 'Bot']","['Ashe', '50.8%', 'Bot']","['Ezreal', '50.1%', 'Bot']","[""Kog'Maw"", '50.0%', 'Bot']"
Dr. Mundo,"['Rengar', '57.5%', 'Jungle']","['Rammus', '56.8%', 'Jungle']","['Fiddlesticks', '55.6%', 'Jungle']","['Ivern', '55.5%', 'Jungle']","['Evelynn', '55.4%', 'Jungle']","['Shaco', '55.4%', 'Jungle']"
Mordekaiser,"[""Rek'Sai"", '54.2%', 'Jungle']","['Kindred', '53.8%', 'Jungle']","['Rammus', '53.8%', 'Jungle']","['Trundle', '53.3%', 'Jungle']","['Fiddlesticks', '53.1%', 'Jungle']","['Xin Zhao', '53.1%', 'Jungle']"
Shaco,"['Swain', '60.1%', 'Mid']","['Malphite', '58.6%', 'Mid']","['Akshan', '58.0%', 'Mid']","['Nasus', '56.8%', 'Top']","['Taliyah', '56.2%', 'Mid']","['Ziggs', '55.9%', 'Mid']"
Akshan,"['Fiddlesticks', '59.0%', 'Jungle']","['Taliyah', '58.6%', 'Jungle']","['Shaco', '58.5%', 'Jungle']","['Karthus', '58.4%', 'Jungle']","['Nunu & Willump', '57.9%', 'Jungle']","['Elise', '57.4%', 'Jungle']"
Nidalee,"['Tristana', '57.0%', 'Mid']","['Diana', '56.7%', 'Mid']","['Galio', '56.6%', 'Mid']","['Rengar', '56.0%', 'Top']","['Qiyana', '55.9%', 'Mid']","['Annie', '55.6%', 'Mid']"
Draven,"['Sona', '56.0%', 'Support']","['Zac', '55.0%', 'Support']","['Maokai', '54.7%', 'Support']","['Janna', '54.2%', 'Support']","['Taric', '53.4%', 'Support']","['Blitzcrank', '53.3%', 'Support']"
Azir,"['Fiddlesticks', '54.1%', 'Jungle']","['Taliyah', '51.8%', 'Jungle']","['Wukong', '51.4%', 'Jungle']","['Nocturne', '50.8%', 'Jungle']","['Rengar', '50.4%', 'Jungle']","['Ivern', '50.4%', 'Jungle']"
Zoe,"['Evelynn', '59.0%', 'Jungle']","[""Bel'Veth"", '55.4%', 'Jungle']","['Taliyah', '55.3%', 'Jungle']","['Talon', '54.6%', 'Jungle']","['Graves', '54.5%', 'Jungle']","['Kindred', '54.5%', 'Jungle']"
Diana,"['Fiora', '55.9%', 'Top']","['Galio', '55.0%', 'Mid']","['Kennen', '54.8%', 'Top']","['Neeko', '54.1%', 'Mid']","['Irelia', '54.0%', 'Mid']","['Vayne', '53.7%', 'Top']"
Nami,"['Seraphine', '57.1%', 'Bot']","['Brand', '57.0%', 'Bot']","['Twitch', '56.7%', 'Bot']","['Vayne', '53.8%', 'Bot']","['Samira', '53.2%', 'Bot']","['Ashe', '52.5%', 'Bot']"
Katarina,"['Ivern', '57.1%', 'Jungle']","['Fiddlesticks', '55.0%', 'Jungle']","['Talon', '54.9%', 'Jungle']","['Zac', '54.8%', 'Jungle']","['Rammus', '54.3%', 'Jungle']","['Xin Zhao', '54.1%', 'Jungle']"
Twitch,"['Heimerdinger', '57.1%', 'Support']","['Braum', '57.1%', 'Support']","['Zilean', '56.4%', 'Support']","['Sylas', '55.5%', 'Support']","['Nami', '55.2%', 'Support']","['Rakan', '54.9%', 'Support']"
Qiyana,"['Udyr', '61.5%', 'Jungle']","['Fiddlesticks', '56.2%', 'Jungle']","['Brand', '55.9%', 'Jungle']","['Nidalee', '55.9%', 'Jungle']","['Taliyah', '55.6%', 'Jungle']","['Briar', '54.5%', 'Jungle']"
Renekton,"['Rammus', '52.5%', 'Jungle']","['Kindred', '52.3%', 'Jungle']","['Taliyah', '51.8%', 'Jungle']","['Nocturne', '51.7%', 'Jungle']","['Evelynn', '51.6%', 'Jungle']","['Hecarim', '51.6%', 'Jungle']"
Bel'Veth,"['Sylas', '58.0%', 'Top']","['Pantheon', '57.7%', 'Mid']","['Cassiopeia', '56.5%', 'Mid']","['Anivia', '55.5%', 'Mid']","['Irelia', '55.1%', 'Top']","['Akshan', '54.8%', 'Mid']"
Aphelios,"['Maokai', '53.0%', 'Support']","['Sona', '52.6%', 'Support']","['Taric', '51.7%', 'Support']","[""Vel'Koz"", '51.1%', 'Support']","['Alistar', '50.3%', 'Support']","['Blitzcrank', '49.9%', 'Support']"
Lucian,"['Taric', '56.8%', 'Support']","['Zac', '55.6%', 'Support']","['Fiddlesticks', '55.2%', 'Support']","['Yuumi', '54.7%', 'Support']","['Rakan', '54.6%', 'Support']","['Blitzcrank', '54.3%', 'Support']"
Viego,"['Neeko', '55.1%', 'Mid']","['Akshan', '55.1%', 'Mid']","['Veigar', '54.7%', 'Mid']","['Singed', '54.5%', 'Top']","['Swain', '54.3%', 'Mid']","['Gragas', '53.8%', 'Mid']"
Cassiopeia,"['Rammus', '61.5%', 'Jungle']","['Nunu & Willump', '61.4%', 'Jungle']","['Shaco', '56.8%', 'Jungle']","[""Bel'Veth"", '56.3%', 'Jungle']","['Zac', '55.0%', 'Jungle']","['Taliyah', '55.0%', 'Jungle']"
Singed,"['Karthus', '60.0%', 'Jungle']","['Kindred', '58.4%', 'Jungle']","['Fiddlesticks', '58.3%', 'Jungle']","['Ivern', '57.5%', 'Jungle']","['Maokai', '56.8%', 'Jungle']","['Nocturne', '56.8%', 'Jungle']"
Fizz,"['Ivern', '57.5%', 'Jungle']","['Udyr', '56.3%', 'Jungle']","['Kindred', '56.2%', 'Jungle']","['Trundle', '56.0%', 'Jungle']","['Evelynn', '55.9%', 'Jungle']","['Jax', '55.9%', 'Jungle']"
