championName,bestDuo1,bestDuo2,bestDuo3,bestDuo4,bestDuo5,bestDuo6
Heimerdinger,"['Hwei', '63.3%']","['Swain', '61.1%']","['Sylas', '58.3%']","['Pantheon', '56.8%']","['Brand', '54.4%']","['Ashe', '54.2%']"
Bard,"['Hwei', '66.2%']","['Pantheon', '56.3%']","['Leona', '54.0%']","['Ashe', '53.8%']","['Yuumi', '53.8%']","['Rell', '53.8%']"
Gangplank,"[""Cho'Gath"", '55.3%']","['Sylas', '53.8%']","['Poppy', '53.6%']","['Varus', '53.2%']","['Sett', '53.0%']","['Yasuo', '52.9%']"
Nunu & Willump,"['Shyvana', '60.1%']","['Maokai', '56.1%']","['Sejuani', '54.4%']","['Amumu', '54.3%']","['Gragas', '54.0%']","['Udyr', '53.9%']"
Zeri,"[""Kai'Sa"", '50.4%']","['Yasuo', '49.8%']","['Varus', '49.6%']","['Xayah', '49.4%']","['Kalista', '48.9%']","['Aphelios', '48.8%']"
Yorick,"['Pantheon', '56.1%']","[""Cho'Gath"", '54.7%']","['Teemo', '53.8%']","['Jayce', '53.6%']","['Darius', '53.3%']","['Dr. Mundo', '53.0%']"
Jax,"['Irelia', '57.0%']","['Varus', '56.3%']","['Volibear', '54.5%']","['Yasuo', '54.3%']","['Warwick', '54.0%']","['Yone', '53.8%']"
Hwei,"['Ryze', '39.3%']","['Azir', '39.2%']","['Galio', '38.7%']","['Sylas', '37.5%']","['Vladimir', '37.2%']","['Cassiopeia', '37.0%']"
Lillia,"['Sejuani', '55.6%']","['Jax', '54.8%']","['Sylas', '54.7%']","['Shyvana', '54.5%']","['Lee Sin', '53.7%']","['Amumu', '53.6%']"
Jinx,"['Aphelios', '53.8%']","['Zeri', '53.2%']","['Xayah', '53.2%']","['Samira', '52.9%']","['Tristana', '52.9%']","[""Kai'Sa"", '52.7%']"
Briar,"['Sylas', '56.0%']","['Nunu & Willump', '55.3%']","['Diana', '54.8%']","['Nidalee', '54.8%']","['Lillia', '54.7%']","['Rengar', '53.8%']"
Leona,"['Hwei', '67.4%']","['Pantheon', '56.2%']","['Yuumi', '55.4%']","['Twitch', '54.9%']","['Seraphine', '54.7%']","['Lulu', '54.0%']"
Alistar,"['Hwei', '61.1%']","['Pantheon', '57.6%']","['Nautilus', '54.0%']","['Yuumi', '54.0%']","['Tahm Kench', '52.6%']","['Pyke', '52.5%']"
Aatrox,"['Sion', '55.0%']","['Dr. Mundo', '54.7%']","['Gangplank', '53.5%']","['Tahm Kench', '53.2%']","['Yorick', '52.6%']","['Nasus', '52.3%']"
Malphite,"['Vayne', '61.1%']","['Tryndamere', '58.9%']","['Yasuo', '58.8%']","['Jayce', '57.2%']","['Pantheon', '56.9%']","['Quinn', '56.6%']"
Nasus,"['Kennen', '58.5%']","['Vladimir', '58.4%']","['Yasuo', '57.8%']","['Warwick', '57.6%']","['Jayce', '57.5%']","['Vayne', '56.9%']"
Samira,"['Aphelios', '55.2%']","['Zeri', '53.8%']","[""Kai'Sa"", '53.2%']","['Sivir', '52.8%']","['Draven', '52.0%']","['Yasuo', '51.9%']"
Ahri,"['Hwei', '65.0%']","['Yone', '53.9%']","['Azir', '53.8%']","['Ekko', '53.2%']","['Yasuo', '53.0%']","['Irelia', '52.7%']"
Miss Fortune,"['Aphelios', '55.1%']","['Kalista', '55.0%']","['Samira', '53.1%']","['Draven', '53.1%']","['Zeri', '53.1%']","[""Kai'Sa"", '53.1%']"
Swain,"['Hwei', '57.8%']","['Pantheon', '55.4%']","['Leona', '53.6%']","['Nautilus', '53.6%']","['Rell', '52.6%']","['Alistar', '51.9%']"
