championName,worstAgainst1,worstAgainst2,worstAgainst3,worstAgainst4,worstAgainst5,worstAgainst6
Fiddlesticks,"['Udyr', '44.3%']","['Karthus', '47.5%']","['Amumu', '48.4%']","['Maokai', '49.1%']","['Briar', '49.7%']","['Rammus', '49.9%']"
Galio,"['Brand', '41.8%']","['Swain', '43.7%']","['Qiyana', '45.0%']","['Zed', '45.8%']","['Vex', '46.4%']","['Taliyah', '47.0%']"
Yasuo,"['Swain', '42.7%']","['Malzahar', '42.8%']","['Renekton', '43.8%']","['Aurelion Sol', '43.9%']","['Taliyah', '44.4%']","['Anivia', '44.7%']"
Elise,"['Rammus', '42.5%']","['Udyr', '43.9%']","['Ivern', '45.6%']","['Karthus', '45.8%']","['Diana', '46.9%']","['Rengar', '46.9%']"
Teemo,"['Ornn', '43.5%']","['Kled', '44.1%']","['Ryze', '45.4%']","['Shen', '45.5%']","['Nasus', '45.9%']","['Urgot', '46.3%']"
Sejuani,"['Ivern', '43.3%']","['Kayn', '44.3%']","['Trundle', '45.1%']","['Brand', '45.1%']","[""Kha'Zix"", '45.7%']","[""Bel'Veth"", '45.7%']"
Naafiri,"['Neeko', '41.3%']","['Taliyah', '42.0%']","['Anivia', '42.5%']","['Vex', '44.1%']","['Lissandra', '45.5%']","['Swain', '45.6%']"
Renata Glasc,"['Zilean', '46.0%']","['Xerath', '46.9%']","['Heimerdinger', '47.7%']","['Zyra', '48.4%']","['Twitch', '48.9%']","['Soraka', '49.2%']"
Morgana,"['Twitch', '44.9%']","['Janna', '46.0%']","['Shaco', '47.1%']","['Zyra', '47.6%']","['Rell', '47.7%']","['Soraka', '47.9%']"
Cho'Gath,"['Dr. Mundo', '40.9%']","['Olaf', '41.5%']","['Vayne', '43.0%']","['Gwen', '43.6%']","['Gragas', '43.7%']","['Rumble', '44.4%']"
Warwick,"['Ivern', '42.9%']","['Brand', '44.3%']","['Karthus', '44.9%']","['Shaco', '45.9%']","['Taliyah', '46.6%']","['Evelynn', '46.9%']"
Nautilus,"['Taric', '44.5%']","['Braum', '45.6%']","['Rell', '46.1%']","['Rakan', '46.2%']","['Morgana', '46.8%']","['Leona', '47.0%']"
Thresh,"['Taric', '47.4%']","['Janna', '47.6%']","['Rakan', '47.8%']","['Zyra', '48.0%']","['Maokai', '48.2%']","['Twitch', '48.3%']"
Xayah,"['Ziggs', '46.3%']","['Ashe', '46.4%']","['Jinx', '46.8%']","['Vayne', '47.4%']","['Twitch', '47.9%']","['Draven', '47.9%']"
Graves,"['Evelynn', '46.8%']","['Ivern', '47.7%']","['Rammus', '47.9%']","['Udyr', '48.4%']","['Fiddlesticks', '48.5%']","[""Kha'Zix"", '48.6%']"
Evelynn,"['Fiddlesticks', '45.3%']","['Briar', '48.5%']","['Zac', '48.7%']","['Ivern', '49.2%']","['Shaco', '49.7%']","['Brand', '49.7%']"
Tahm Kench,"['Poppy', '40.4%']","['Aatrox', '46.5%']","['Gwen', '46.6%']","['Riven', '46.8%']","['Gangplank', '46.8%']","['Urgot', '47.7%']"
Corki,"['Swain', '33.3%']","['Anivia', '35.7%']","['Ziggs', '39.4%']","['Jayce', '39.7%']","['Kassadin', '39.8%']","['Talon', '40.5%']"
Brand,"['Talon', '46.8%']","['Kindred', '47.3%']","['Rengar', '47.4%']","['Nidalee', '48.0%']","['Kayn', '48.0%']","[""Rek'Sai"", '48.7%']"
Kayle,"['Rengar', '39.0%']","['Poppy', '39.9%']","['Singed', '44.4%']","['Nasus', '44.9%']","['Sylas', '45.3%']","['Warwick', '45.3%']"
Tryndamere,"['Vayne', '39.5%']","['Malphite', '42.5%']","['Quinn', '43.9%']","['Poppy', '44.0%']","['Tahm Kench', '46.0%']","['Volibear', '46.4%']"
Quinn,"['Dr. Mundo', '38.0%']","['Warwick', '42.7%']","['Nasus', '43.8%']","['Akshan', '44.9%']","['Malphite', '45.3%']","['Singed', '45.5%']"
Viktor,"['Akshan', '45.1%']","['Galio', '45.9%']","['Aurelion Sol', '46.6%']","['Kassadin', '46.9%']","['Neeko', '47.3%']","['Diana', '47.7%']"
Camille,"['Vladimir', '43.7%']","['Zac', '43.8%']","['Poppy', '47.9%']","[""Cho'Gath"", '48.5%']","['Teemo', '48.5%']","['Jax', '48.9%']"
Yuumi,"['Taric', '39.6%']","['Braum', '42.0%']","['Rell', '42.4%']","['Nautilus', '43.7%']","['Rakan', '44.0%']","['Janna', '44.5%']"
Kai'Sa,"[""Kog'Maw"", '44.7%']","['Ashe', '47.2%']","['Vayne', '47.3%']","['Draven', '47.4%']","['Twitch', '47.4%']","['Samira', '47.5%']"
Janna,"['Sona', '47.5%']","['Blitzcrank', '49.6%']","['Soraka', '49.8%']","['Zyra', '49.9%']","['Renata Glasc', '50.0%']","['Senna', '50.1%']"
Kassadin,"['Tristana', '43.3%']","['Swain', '44.9%']","['Irelia', '45.8%']","['Brand', '45.9%']","['Pantheon', '46.1%']","['Akshan', '46.4%']"
Darius,"['Wukong', '45.1%']","['Dr. Mundo', '45.7%']","['Quinn', '45.9%']","['Vayne', '47.0%']","['Ornn', '47.7%']","['Rumble', '48.3%']"
Zilean,"['Sylas', '41.8%']","['Heimerdinger', '45.5%']","['Blitzcrank', '48.2%']","['Senna', '48.8%']","['Janna', '49.3%']","['Soraka', '49.3%']"
Ryze,"['Taliyah', '39.2%']","['Malzahar', '42.3%']","['Anivia', '42.5%']","['Annie', '42.6%']","['Brand', '43.1%']","['Aurelion Sol', '43.8%']"
Rakan,"['Zilean', '48.7%']","['Zac', '49.1%']","['Senna', '49.1%']","['Renata Glasc', '49.2%']","['Soraka', '49.2%']","['Janna', '49.5%']"
Blitzcrank,"['Amumu', '44.7%']","['Maokai', '46.4%']","['Rakan', '46.9%']","['Leona', '47.4%']","['Zac', '47.8%']","['Taric', '48.0%']"
Kindred,"['Rammus', '45.0%']","['Rengar', '46.6%']","['Ivern', '46.9%']","['Master Yi', '47.0%']","['Trundle', '47.4%']","['Evelynn', '47.8%']"
Irelia,"['Warwick', '40.7%']","['Trundle', '43.3%']","['Olaf', '44.2%']","['Jax', '44.7%']","['Nasus', '45.1%']","['Riven', '45.3%']"
Vi,"['Trundle', '43.7%']","['Jax', '43.8%']","['Ivern', '45.7%']","[""Rek'Sai"", '46.1%']","['Fiddlesticks', '47.0%']","['Zac', '47.4%']"
Trundle,"['Quinn', '44.9%']","['Gnar', '46.7%']","['Udyr', '47.3%']","['Vayne', '47.3%']","['Kled', '47.4%']","['Jax', '47.9%']"
Lissandra,"['Anivia', '43.3%']","['Swain', '43.4%']","['Cassiopeia', '44.4%']","['Aurelion Sol', '45.0%']","['Galio', '45.0%']","['Annie', '45.6%']"
Sivir,"['Twitch', '45.2%']","['Vayne', '46.0%']","['Seraphine', '46.3%']","['Draven', '46.8%']","['Samira', '47.9%']","['Ashe', '48.0%']"
Rumble,"['Ryze', '41.6%']","['Olaf', '43.7%']","['Tryndamere', '45.1%']","['Tahm Kench', '45.1%']","['Ornn', '45.2%']","['Warwick', '45.4%']"
Gnar,"['Olaf', '42.6%']","['Vayne', '43.2%']","['Poppy', '44.2%']","['Rengar', '44.6%']","['Urgot', '44.9%']","['Malphite', '46.1%']"
Vel'Koz,"['Maokai', '42.8%']","['Sona', '42.9%']","['Zyra', '45.7%']","['Pyke', '46.0%']","['Twitch', '46.7%']","['Shaco', '47.7%']"
Soraka,"['Maokai', '45.7%']","['Sylas', '47.8%']","['Blitzcrank', '47.9%']","['Bard', '48.2%']","['Zyra', '48.6%']","['Yuumi', '50.2%']"
Taric,"['Bard', '45.9%']","['Janna', '47.4%']","['Nami', '48.3%']","['Morgana', '48.6%']","['Swain', '48.8%']","['Ashe', '48.9%']"
